comment_id,status_id,parent_id,comment_message,comment_author,comment_published,num_reactions,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special
10156275840459781_10156277512969781,122150409780_10156275840459781,,"Keep up the spirit of hard work
Success in achieving your goals 🙏🏻👏👍🏻",0,2018-02-22 03:15:50,0,0,0,0,0,0,0,0
10156275840459781_10156276998914781,122150409780_10156275840459781,,Aswini Krishnan YOU ARE AMAZINGGGG ❤️,0,2018-02-21 22:35:16,2,0,2,0,0,0,0,0
10156275840459781_10156278690359781,122150409780_10156275840459781,,"Congratulations! Go, Tritons!",0,2018-02-22 12:43:35,0,0,0,0,0,0,0,0
10156275840459781_10156276239614781,122150409780_10156275840459781,,Congratulations!!!! Tritons Power!!!!,0,2018-02-21 16:46:17,0,0,0,0,0,0,0,0
10156275840459781_10156276361044781,122150409780_10156275840459781,,Awesome! way to go.,0,2018-02-21 17:32:36,0,0,0,0,0,0,0,0
10156275840459781_10156277250629781,122150409780_10156275840459781,,Congratulations!!!!,0,2018-02-22 00:36:01,0,0,0,0,0,0,0,0
10156275840459781_10156275993104781,122150409780_10156275840459781,,Congratulations!!!!,0,2018-02-21 15:33:39,0,0,0,0,0,0,0,0
10156275840459781_10156275893324781,122150409780_10156275840459781,,Boom!,0,2018-02-21 14:52:44,0,0,0,0,0,0,0,0
10156257703884781_10156259135579781,122150409780_10156257703884781,,Austin Wong LETS GO,0,2018-02-16 02:34:41,0,0,0,0,0,0,0,0
10156257703884781_10156259141419781,122150409780_10156257703884781,10156257703884781_10156259135579781,why dafuq cant i tag Kepleer Tse,0,2018-02-16 02:39:46,0,0,0,0,0,0,0,0
10156257703884781_10156259141554781,122150409780_10156257703884781,10156257703884781_10156259135579781,Kepleer Tse,0,2018-02-16 02:39:53,0,0,0,0,0,0,0,0
10156257703884781_10156258940464781,122150409780_10156257703884781,,Is it streamed?,0,2018-02-16 00:33:53,0,0,0,0,0,0,0,0
10156257703884781_10156259125639781,122150409780_10156257703884781,10156257703884781_10156258940464781,It’ll be streamed on twitch.tv/playoverwatch from 2PM on Saturday 🙂,0,2018-02-16 02:24:10,2,2,0,0,0,0,0,0
10156257703884781_10156259143964781,122150409780_10156257703884781,10156257703884781_10156258940464781,Justin Quong,0,2018-02-16 02:41:58,0,0,0,0,0,0,0,0
10156257703884781_10156258856534781,122150409780_10156257703884781,,Mike Zhang Andrew Nguyen tritons,0,2018-02-15 23:26:13,0,0,0,0,0,0,0,0
10156257703884781_10156258866434781,122150409780_10156257703884781,10156257703884781_10156258856534781,Hopefully we don't drop the ball on this one. UC Irvine's a tough matchup--they have their own eSports arena.,0,2018-02-15 23:35:09,1,0,0,0,1,0,0,0
10156257703884781_10156258861179781,122150409780_10156257703884781,,tu no le entras o que pedo Isaiah Zeferino?,0,2018-02-15 23:29:45,0,0,0,0,0,0,0,0
10156257703884781_10156258936134781,122150409780_10156257703884781,,Go Tritons! We're rooting for you!,0,2018-02-16 00:30:27,1,1,0,0,0,0,0,0
10156257703884781_10156260421389781,122150409780_10156257703884781,,Are these guys the same guys who play games at Geisel library and interrupt my internet connection when I'm trying to study at the library? jk lol Go Tritons!,0,2018-02-16 13:20:15,0,0,0,0,0,0,0,0
10156257703884781_10156258898104781,122150409780_10156257703884781,,Garret Kasler we joining?,0,2018-02-16 00:02:08,2,2,0,0,0,0,0,0
10156257703884781_10156261343764781,122150409780_10156257703884781,10156257703884781_10156258898104781,Time to get the old team back together https://www.youtube.com/watch?v=QEtVoVAF1Uw,0,2018-02-16 20:39:13,0,0,0,0,0,0,0,0
10156257703884781_10156259367949781,122150409780_10156257703884781,,"real men play tarkov

jk but fuck overwatch",0,2018-02-16 05:15:19,0,0,0,0,0,0,0,0
10156257703884781_10156259305659781,122150409780_10156257703884781,,Went to both...Win-Win situation for me!,0,2018-02-16 04:45:34,0,0,0,0,0,0,0,0
10156257703884781_10156259184794781,122150409780_10156257703884781,,Sophia Ha get ready to be wrecked,0,2018-02-16 03:08:04,0,0,0,0,0,0,0,0
10156257703884781_10156259187984781,122150409780_10156257703884781,10156257703884781_10156259184794781,Bet ur li xi,0,2018-02-16 03:10:26,0,0,0,0,0,0,0,0
10156257703884781_10156259190064781,122150409780_10156257703884781,10156257703884781_10156259184794781,Wow you wanna play this whey I see,0,2018-02-16 03:12:05,0,0,0,0,0,0,0,0
10156257703884781_10156258707669781,122150409780_10156257703884781,,🙌🏻,0,2018-02-15 22:17:40,0,0,0,0,0,0,0,0
10156257703884781_10156258298844781,122150409780_10156257703884781,,Hanson Qin,0,2018-02-15 19:47:16,0,0,0,0,0,0,0,0
10156257703884781_10156267060224781,122150409780_10156257703884781,,Raffi make sure to go,0,2018-02-18 18:27:51,0,0,0,0,0,0,0,0
10156257703884781_10156258882849781,122150409780_10156257703884781,,Bao Pham,0,2018-02-15 23:48:53,0,0,0,0,0,0,0,0
10156257703884781_10156259130684781,122150409780_10156257703884781,,Joshua Moore Dan Tran Think they need a sub?,0,2018-02-16 02:30:04,1,0,0,1,0,0,0,0
10156257703884781_10156258358069781,122150409780_10156257703884781,,Vivek Medepalli esports,0,2018-02-15 19:59:52,0,0,0,0,0,0,0,0
10156257703884781_10156260092739781,122150409780_10156257703884781,,Taylor omg,0,2018-02-16 11:01:26,0,0,0,0,0,0,0,0
10156257703884781_10156258826509781,122150409780_10156257703884781,,Leo Lupoli !,0,2018-02-15 23:06:54,1,1,0,0,0,0,0,0
10156257703884781_10156258835229781,122150409780_10156257703884781,10156257703884781_10156258826509781,My alma mater vs yours!,0,2018-02-15 23:13:01,1,1,0,0,0,0,0,0
10156257703884781_10156269799814781,122150409780_10156257703884781,,Chris Lim,0,2018-02-19 14:20:46,1,1,0,0,0,0,0,0
